80 456
-4.272727272727272e+00 -5.000000000000000e+00 0.000000000000000e+00
-4.333333333333334e+00 -5.000000000000000e+00 0.000000000000000e+00
-4.393939393939394e+00 -5.000000000000000e+00 0.000000000000000e+00
-4.454545454545455e+00 -5.000000000000000e+00 0.000000000000000e+00
-4.515151515151516e+00 -5.000000000000000e+00 0.000000000000000e+00
-4.575757575757575e+00 -5.000000000000000e+00 0.000000000000000e+00
-4.636363636363637e+00 -5.000000000000000e+00 0.000000000000000e+00
-4.696969696969697e+00 -5.000000000000000e+00 0.000000000000000e+00
-4.757575757575757e+00 -5.000000000000000e+00 0.000000000000000e+00
-4.818181818181818e+00 -5.000000000000000e+00 0.000000000000000e+00
-4.878787878787879e+00 -5.000000000000000e+00 0.000000000000000e+00
-4.939393939393939e+00 -5.000000000000000e+00 0.000000000000000e+00
-5.000000000000000e+00 -5.000000000000000e+00 0.000000000000000e+00
-5.000000000000000e+00 -4.830508474576270e+00 0.000000000000000e+00
-5.000000000000000e+00 -4.661016949152541e+00 0.000000000000000e+00
-5.000000000000000e+00 -4.491525423728813e+00 0.000000000000000e+00
-5.000000000000000e+00 -4.322033898305085e+00 0.000000000000000e+00
-5.000000000000000e+00 -4.152542372881356e+00 0.000000000000000e+00
-5.000000000000000e+00 -3.983050847457626e+00 0.000000000000000e+00
-5.000000000000000e+00 -3.813559322033898e+00 0.000000000000000e+00
-5.000000000000000e+00 -3.644067796610170e+00 0.000000000000000e+00
-5.000000000000000e+00 -3.474576271186439e+00 0.000000000000000e+00
-5.000000000000000e+00 -3.305084745762711e+00 0.000000000000000e+00
-5.000000000000000e+00 -3.135593220338983e+00 0.000000000000000e+00
-5.000000000000000e+00 -2.966101694915254e+00 0.000000000000000e+00
-5.000000000000000e+00 -2.796610169491524e+00 0.000000000000000e+00
-5.000000000000000e+00 -2.627118644067796e+00 0.000000000000000e+00
-5.000000000000000e+00 -2.457627118644067e+00 0.000000000000000e+00
-5.000000000000000e+00 -2.288135593220339e+00 0.000000000000000e+00
-5.000000000000000e+00 -2.118644067796610e+00 0.000000000000000e+00
-5.000000000000000e+00 -1.949152542372881e+00 0.000000000000000e+00
-5.000000000000000e+00 -1.779661016949152e+00 0.000000000000000e+00
-5.000000000000000e+00 -1.610169491525424e+00 0.000000000000000e+00
-5.000000000000000e+00 -1.440677966101695e+00 0.000000000000000e+00
-5.000000000000000e+00 -1.271186440677965e+00 0.000000000000000e+00
-5.000000000000000e+00 -1.101694915254237e+00 0.000000000000000e+00
-5.000000000000000e+00 -9.322033898305087e-01 0.000000000000000e+00
-5.000000000000000e+00 -7.627118644067803e-01 0.000000000000000e+00
-5.000000000000000e+00 -5.932203389830502e-01 0.000000000000000e+00
-5.000000000000000e+00 -4.237288135593218e-01 0.000000000000000e+00
-5.000000000000000e+00 -2.542372881355934e-01 0.000000000000000e+00
-5.000000000000000e+00 -8.474576271186418e-02 0.000000000000000e+00
-5.000000000000000e+00 8.474576271186507e-02 0.000000000000000e+00
-5.000000000000000e+00 2.542372881355934e-01 0.000000000000000e+00
-5.000000000000000e+00 4.237288135593218e-01 0.000000000000000e+00
-5.000000000000000e+00 5.932203389830515e-01 0.000000000000000e+00
-5.000000000000000e+00 7.627118644067803e-01 0.000000000000000e+00
-5.000000000000000e+00 9.322033898305087e-01 0.000000000000000e+00
-5.000000000000000e+00 1.101694915254238e+00 0.000000000000000e+00
-5.000000000000000e+00 1.271186440677966e+00 0.000000000000000e+00
-5.000000000000000e+00 1.440677966101695e+00 0.000000000000000e+00
-5.000000000000000e+00 1.610169491525424e+00 0.000000000000000e+00
-5.000000000000000e+00 1.779661016949152e+00 0.000000000000000e+00
-5.000000000000000e+00 1.949152542372881e+00 0.000000000000000e+00
-5.000000000000000e+00 2.118644067796610e+00 0.000000000000000e+00
-5.000000000000000e+00 2.288135593220339e+00 0.000000000000000e+00
-5.000000000000000e+00 2.457627118644067e+00 0.000000000000000e+00
-5.000000000000000e+00 2.627118644067796e+00 0.000000000000000e+00
-5.000000000000000e+00 2.796610169491526e+00 0.000000000000000e+00
-5.000000000000000e+00 2.966101694915254e+00 0.000000000000000e+00
-5.000000000000000e+00 3.135593220338983e+00 0.000000000000000e+00
-5.000000000000000e+00 3.305084745762712e+00 0.000000000000000e+00
-4.999999999999999e+00 3.474576271186440e+00 0.000000000000000e+00
-5.000000000000000e+00 3.644067796610170e+00 0.000000000000000e+00
-5.000000000000000e+00 3.813559322033898e+00 0.000000000000000e+00
-5.000000000000000e+00 3.983050847457628e+00 0.000000000000000e+00
-5.000000000000000e+00 4.152542372881356e+00 0.000000000000000e+00
-5.000000000000000e+00 4.322033898305085e+00 0.000000000000000e+00
-5.000000000000000e+00 4.491525423728813e+00 0.000000000000000e+00
-5.000000000000000e+00 4.661016949152541e+00 0.000000000000000e+00
-5.000000000000000e+00 4.830508474576272e+00 0.000000000000000e+00
-5.000000000000000e+00 5.000000000000000e+00 0.000000000000000e+00
