258
  7.926624369306670e-02  -4.308140018577351e-02   0.000000000000000e+00
  8.582890745761718e-02  -4.442505753573191e-02   0.000000000000000e+00
  9.260856579747637e-02  -4.571731168526359e-02   0.000000000000000e+00
  9.960821020267285e-02  -4.695882512604978e-02   0.000000000000000e+00
  1.068325080104911e-01  -4.815018627984826e-02   0.000000000000000e+00
  1.142776091334031e-01  -4.929036833405931e-02   0.000000000000000e+00
  1.219478582746798e-01  -5.037953181485393e-02   0.000000000000000e+00
  1.298440137354516e-01  -5.141711398878070e-02   0.000000000000000e+00
  1.379630760573458e-01  -5.240202608716561e-02   0.000000000000000e+00
  1.463104041856526e-01  -5.333414497716545e-02   0.000000000000000e+00
  1.548823343021150e-01  -5.421223315834897e-02   0.000000000000000e+00
  1.636765589039300e-01  -5.503528794601856e-02   0.000000000000000e+00
  1.726991036770752e-01  -5.580304616813668e-02   0.000000000000000e+00
  1.819416142520701e-01  -5.651399436859708e-02   0.000000000000000e+00
  1.914040255917989e-01  -5.716742858405687e-02   0.000000000000000e+00
  2.010874798260809e-01  -5.776271939273097e-02   0.000000000000000e+00
  2.109840791200494e-01  -5.829875653796743e-02   0.000000000000000e+00
  2.210939540224087e-01  -5.877501656984527e-02   0.000000000000000e+00
  2.314132880043016e-01  -5.919083767992498e-02   0.000000000000000e+00
  2.419345395166236e-01  -5.954555988431004e-02   0.000000000000000e+00
  2.526576727828789e-01  -5.983891036704998e-02   0.000000000000000e+00
  2.635741278898450e-01  -6.007047345811618e-02   0.000000000000000e+00
  2.746765833104952e-01  -6.024006476953524e-02   0.000000000000000e+00
  2.859644255773696e-01  -6.034772027753271e-02   0.000000000000000e+00
  2.974248819740615e-01  -6.039347916452682e-02   0.000000000000000e+00
  3.090519596084275e-01  -6.037763128329399e-02   0.000000000000000e+00
  3.208401717376299e-01  -6.030058188845715e-02   0.000000000000000e+00
  3.327772343331863e-01  -6.016293407671135e-02   0.000000000000000e+00
  3.448565741055610e-01  -5.996540959627479e-02   0.000000000000000e+00
  3.570686186944811e-01  -5.970890344359179e-02   0.000000000000000e+00
  3.694014811867295e-01  -5.939452323788749e-02   0.000000000000000e+00
  3.818476707954249e-01  -5.902341170623873e-02   0.000000000000000e+00
  3.943946239870776e-01  -5.859698210718196e-02   0.000000000000000e+00
  4.070307236506364e-01  -5.811676921335097e-02   0.000000000000000e+00
  4.197472314191381e-01  -5.758431111744726e-02   0.000000000000000e+00
  4.325299450152682e-01  -5.700147850351896e-02   0.000000000000000e+00
  4.453677263629856e-01  -5.637012734944219e-02   0.000000000000000e+00
  4.582491857769346e-01  -5.569221125303937e-02   0.000000000000000e+00
  4.711611197416941e-01  -5.496986440686100e-02   0.000000000000000e+00
  4.840917339480479e-01  -5.420522371497369e-02   0.000000000000000e+00
  4.970284945277550e-01  -5.340053237883322e-02   0.000000000000000e+00
  5.099590592610698e-01  -5.255807906554701e-02   0.000000000000000e+00
  5.228707768017107e-01  -5.168022046831296e-02   0.000000000000000e+00
  5.357515613597725e-01  -5.076931402216698e-02   0.000000000000000e+00
  5.485897544572743e-01  -4.982771311843628e-02   0.000000000000000e+00
  5.613716851055415e-01  -4.885794357428369e-02   0.000000000000000e+00
  5.740872853056012e-01  -4.786227617400212e-02   0.000000000000000e+00
  5.867246725353963e-01  -4.684312227757757e-02   0.000000000000000e+00
  5.992711437271661e-01  -4.580296831512679e-02   0.000000000000000e+00
  6.117179876008636e-01  -4.474396705587652e-02   0.000000000000000e+00
  6.240530681437211e-01  -4.366854778951247e-02   0.000000000000000e+00
  6.362661094522796e-01  -4.257897447165220e-02   0.000000000000000e+00
  6.483494565515603e-01  -4.147725649848599e-02   0.000000000000000e+00
  6.602905853243785e-01  -4.036582890879127e-02   0.000000000000000e+00
  6.720828891723596e-01  -3.924656540156562e-02   0.000000000000000e+00
  6.837194498594329e-01  -3.812133417109349e-02   0.000000000000000e+00
  6.951872538289867e-01  -3.699257822394865e-02   0.000000000000000e+00
  7.064843246591396e-01  -3.586163991944263e-02   0.000000000000000e+00
